Line,Month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Central Coast,February,525301,515930,502649,468385,466953,451901,461482,474015,456444,469000,449425,482435,456284
Central Coast,March,619277,596988,596796,566765,559244,519139,531478,539333,551376,548637,560399,564745,531981
Central Coast,April,600379,606009,560965,527403,499507,488646,514765,530477,513714,513257,501549,499109,488239
Central Coast,May,614573,586649,556732,541991,543218,533466,533051,537490,527480,524903,527941,534963,521798
Central Coast,June,518868,516914,519371,497560,474530,467513,451473,493016,464106,461933,473733,465787,455847
Central Coast,July,601403,585269,548844,503042,487706,498514,507272,504818,485187,488355,495998,488459,479080
Central Coast,August,591247,571873,531186,533840,537025,517491,507224,537761,497536,503842,505952,524017,508723
Central Coast,September,546528,567523,546122,511532,503420,476403,446341,497926,484081,488905,492943,477867,469220
Central Coast,October,608487,575744,541378,489011,507633,516204,525063,516095,491486,485406,499077,505024,494179
Central Coast,November,548342,525535,501737,505870,490121,485320,469594,496745,473530,481996,489382,491556,460636
Central Coast,December,471109,449702,462274,444519,403069,414757,407059,440003,440687,442980,448844,419219,413495
East Hills,January,1330628,1260942,1249194,1235905,1202521,1194280,1274321,1231619,1212346,1170499,1208990,1285707,1291950
East Hills,February,1278218,1190969,1208688,1200358,1176567,1186539,1264978,1349506,1282384,1287419,1337529,1458853,1395218
East Hills,March,1452936,1323492,1441231,1416844,1379698,1408915,1469649,1458312,1545386,1599412,1631877,1688001,1608405
East Hills,April,1349558,1393273,1292305,1274126,1292686,1236871,1367746,1500492,1419210,1425401,1426754,1471941,1471755
East Hills,May,1459420,1344000,1340472,1353560,1392759,1461393,1490932,1502037,1489017,1520643,1548903,1596893,1642769
East Hills,June,1155287,1223679,1317242,1282957,1232149,1252860,1281196,1418225,1355180,1375426,1441661,1423028,1450518
East Hills,July,1390542,1380494,1380363,1297657,1253599,1326913,1455098,1447987,1405530,1456755,1469221,1478105,1516961
East Hills,August,1351408,1338669,1335122,1395073,1392399,1415997,1466290,1502792,1480312,1473975,1532860,1583487,1624662
East Hills,September,1271898,1335728,1387054,1317661,1295537,1291724,1293727,1476664,1402630,1465807,1505139,1505237,1540970
East Hills,October,1461365,1349469,1362552,1286902,1324125,1401970,1541210,1495345,1407312,1441023,1501200,1575780,1631418
East Hills,November,1323488,1244932,1282321,1293885,1302902,1340619,1404196,1437314,1387686,1448776,1499377,1540316,1551904
East Hills,December,1120792,1135360,1204855,1168775,1111535,1151422,1212504,1288243,1282963,1345584,1365917,1333481,1381028
Eastern Suburbs,January,1009700,941559,900317,842188,691716,840399,862430,892665,870569,823214,879934,938017,944005
Eastern Suburbs,February,927899,884811,857215,832733,770617,784319,797279,867476,829672,855445,864458,954822,963155
Eastern Suburbs,March,1023604,977283,947443,884157,899819,911341,917258,924019,966138,935118,1022002,1045861,1032427
Eastern Suburbs,April,923968,921678,858000,818969,794151,787807,821047,889253,865583,835604,887319,926320,968449
Eastern Suburbs,May,989147,921770,857943,839740,831543,867639,844868,894514,891997,857932,941862,968926,1011316
Eastern Suburbs,June,815502,800334,838973,797795,774872,780956,786708,833489,810164,830506,907595,927958,939418
Eastern Suburbs,July,961617,867859,853881,792967,685393,800011,854152,878902,824123,847784,914995,933282,958867
